"Día","Línea de Servicio","Hora de operación","","","","","","","","","","","","","","","","","","","",""
"","","4:00","5:00","6:00","7:00","8:00","9:00","10:00","11:00","12:00","13:00","14:00","15:00","16:00","17:00","18:00","19:00","20:00","21:00","22:00","23:00","Total general (Número de pasajeros)"
"01/01/2023","LÍNEA 1","192 ","811 ","896 ","716 ","673 ","922 ","1,023 ","1,208 ","1,412 ","1,485 ","1,620 ","1,629 ","1,985 ","2,361 ","2,694 ","2,303 ","1,839 ","1,478 ","236 ","","25,483 "
"01/01/2023","LÍNEA 2","11 ","123 ","116 ","95 ","102 ","144 ","147 ","189 ","281 ","216 ","209 ","191 ","255 ","280 ","317 ","252 ","164 ","111 ","7 ","","3,210 "
"01/01/2023","LÍNEA A","1,328.00 ","5,104.00 ","5,701.00 ","4,309.00 ","4,054 ","4,852 ","5,880 ","7,629 ","8,701 ","9,972 ","10,494 ","10,999 ","13,027 ","15,965 ","19,123 ","15,663 ","12,918 ","9,509 ","819 ","","166,047 "
"01/01/2024","LÍNEA B","221.00 ","701.00 ","750.00 ","655.00 ","628 ","863 ","1,085 ","1,228 ","1,544 ","1,627 ","1,742 ","1,930 ","2,247 ","2,498 ","2,648 ","2,029 ","1,472 ","1,087 ","151 ","","25,106 "
"01/01/2023","LÍNEA H","","","","","","56 ","62 ","49 ","73 ","103 ","94 ","55 ","128 ","99 ","109.00 ","68.00 ","46.00 ","27.00 ","1.00 ","","970 "
"01/01/2023","LÍNEA J","","","","","","470 ","410 ","490 ","476 ","490 ","574 ","688 ","710 ","857 ","933 ","651 ","311 ","146 ","3 ","","7,209 "
"01/01/2023","LÍNEA K","","","","","350 ","555 ","630 ","745 ","805 ","1,009 ","1,064 ","1,432 ","1,515 ","1,788 ","1,562 ","1,110 ","766 ","329 ","4 ","","13,664 "
"01/01/2023","LÍNEA L","","","","","11 ","61 ","158 ","364 ","539 ","643 ","761 ","617 ","531 ","428 ","","","","","","","4,113 "
"01/01/2023","LÍNEA M","","","","","1.00 ","156 ","123 ","176 ","190 ","217 ","271 ","229 ","332 ","319 ","411 ","408 ","260 ","240 ","92 ","","3,425 "
"01/01/2023","LÍNEA O","10.00 ","122.00 ","172.00 ","99.00 ","107.00 ","138 ","95 ","150 ","162 ","138 ","160 ","216 ","234 ","272 ","326 ","222 ","198 ","109 ","14.00 ","","2,944 "
"01/01/2023","LÍNEA P","","","","","25 ","303 ","347 ","334 ","382 ","464 ","461 ","588 ","745 ","996 ","1,039 ","742 ","413 ","199 ","12 ","","7,050 "
"01/01/2023","LÍNEA T-A","87.00 ","426.00 ","430.00 ","400.00 ","399 ","503 ","672 ","736 ","932 ","1,063 ","1,122 ","1,117 ","1,492 ","1,554 ","1,855 ","1,570 ","1,135 ","932 ","206 ","","16,631 "
"02/01/2023","LÍNEA 1","1,614 ","3,886 ","5,511 ","5,144 ","3,565 ","3,410 ","3,163 ","3,227 ","3,298 ","3,239 ","3,978 ","4,343 ","5,171 ","6,387 ","4,978 ","3,489 ","2,790 ","2,035 ","1,103 ","","70,331 "
"02/01/2023","LÍNEA 2","77 ","391 ","569 ","613 ","586 ","638 ","688 ","759 ","751 ","757 ","896 ","1,048 ","1,367 ","1,583 ","1,196 ","725 ","555 ","317 ","117 ","","13,633 "
"02/01/2023","LÍNEA A","9,214.00 ","21,181.00 ","29,783.00 ","25,764.00 ","17,537 ","17,084 ","17,203 ","18,134 ","20,015 ","20,256 ","25,635 ","27,356 ","37,072 ","47,979 ","35,182 ","22,506 ","17,921 ","14,455 ","8,024 ","","432,301 "
"02/01/2023","LÍNEA B","1,596.00 ","3,248.00 ","4,507.00 ","4,170.00 ","2,977 ","2,996 ","2,989 ","3,024 ","3,205 ","3,416 ","3,901 ","4,141 ","5,172 ","6,373 ","5,162 ","3,209 ","1,926 ","1,545 ","844 ","","64,401 "
"02/01/2023","LÍNEA H","115.00 ","195.00 ","187.00 ","166.00 ","113 ","132 ","92 ","75 ","130 ","105 ","74 ","66 ","78 ","59 ","59 ","42.00 ","24.00 ","10.00 ","5.00 ","","1,727 "
"02/01/2023","LÍNEA J","678 ","1,171 ","1,323 ","1,151 ","807 ","649 ","646 ","708 ","680 ","652 ","641 ","565 ","709 ","616 ","484 ","268 ","233 ","123 ","29 ","","12,133 "
"02/01/2023","LÍNEA K","1,360 ","1,625 ","1,688 ","1,422 ","1,126 ","1,102 ","1,033 ","1,122 ","1,259 ","1,132 ","1,317 ","1,114 ","1,370 ","1,427 ","1,185 ","799 ","617 ","262 ","108 ","","21,068 "
"02/01/2023","LÍNEA L","","","","","","178 ","304 ","517 ","590 ","520 ","461 ","452 ","636 ","440 ","","","","","","","4,098 "
"02/01/2023","LÍNEA M","156.00 ","343.00 ","424.00 ","317.00 ","218.00 ","207 ","231 ","274 ","276 ","295 ","279 ","429 ","480 ","631 ","671 ","439 ","348 ","283 ","258 ","","6,559 "
"02/01/2023","LÍNEA O","135.00 ","548.00 ","725.00 ","604.00 ","425.00 ","346 ","350 ","325 ","359 ","324 ","453 ","466 ","588 ","683 ","568 ","377 ","353 ","362 ","157 ","","8,148 "
"02/01/2023","LÍNEA P","629 ","1,227 ","1,623 ","1,185 ","724 ","617 ","597 ","623 ","692 ","543 ","579 ","617 ","725 ","787 ","605 ","345 ","263 ","187 ","86 ","","12,654 "
"02/01/2023","LÍNEA T-A","701.00 ","1,605.00 ","2,250.00 ","2,008.00 ","1,406 ","1,314 ","1,458 ","1,542 ","1,763 ","1,639 ","1,931 ","2,248 ","2,744 ","3,222 ","2,981 ","1,949 ","1,714 ","1,207 ","825 ","","34,507 "
"03/01/2023","LÍNEA 1","2,119 ","4,986 ","7,102 ","6,534 ","4,113 ","3,687 ","3,364 ","3,309 ","3,755 ","3,558 ","4,461 ","4,780 ","6,103 ","7,725 ","5,639 ","3,707 ","2,832 ","2,287 ","1,124 ","34 ","81,219 "
"03/01/2023","LÍNEA 2","92 ","499 ","720 ","743 ","671 ","642 ","662 ","739 ","716 ","850 ","984 ","1,280 ","1,549 ","1,729 ","1,444 ","885 ","585 ","369 ","135 ","6 ","15,300 "
"03/01/2023","LÍNEA A","11,581 ","28,036 ","38,350 ","32,714 ","20,935 ","18,418 ","17,692 ","19,335 ","21,236 ","21,535 ","28,298 ","30,144 ","43,838 ","58,132 ","41,800 ","25,553 ","18,788 ","14,592 ","8,355 ","2 ","499,334 "
"03/01/2023","LÍNEA B","2,039 ","4,390 ","5,723 ","5,172 ","3,563 ","3,316 ","3,015 ","3,389 ","3,565 ","3,671 ","4,179 ","4,737 ","5,632 ","7,288 ","5,536 ","3,358 ","2,352 ","1,654 ","921 ","3 ","73,503 "
"03/01/2023","LÍNEA H","161.00 ","291.00 ","253.00 ","196.00 ","129 ","109 ","106 ","83 ","107 ","79 ","65 ","70 ","95 ","45 ","43.00 ","55.00 ","28.00 ","13.00 ","","","1,928 "
