X,Y,objectid,linea,estacion,sentido,sistema,label,tipo
-75.5585557073179,6.29994259053742,1,A,4,C,Metro,Estación Acevedo (Línea A),1
-75.564716727565,6.29031534169045,2,A,5,C,Metro,Estación Tricentenario (Línea A),1
-75.569404855554,6.27832651749432,3,A,6,C,Metro,Estación Caribe (Línea A),1
-75.5658279957638,6.26943275514449,4,A,7,C,Metro,Estación Universidad (Línea A),1
-75.5633348026529,6.26391952498487,5,A,8,C,Metro,Estación Hospital (Línea A),1
-75.5661721552883,6.25685016769021,6,A,9,C,Metro,Estación Prado (Línea A),1
-75.5682359311933,6.25050160348263,7,A,10,C,Metro,Estación Parque Berrío (Línea A),1
-75.5697034075725,6.24719454336257,8,A,11,C,Metro,Estación San Antonio (Línea A),1
-75.5751519776272,6.24905357174115,9,B,22,C,Metro,Estación Cisneros (Línea B),1
-75.5714252879918,6.24291711040104,10,A,12,C,Metro,Estación Alpujarra (Línea A),1
-75.5731636526997,6.23841985317288,11,A,13,C,Metro,Estación Exposiciones (Línea A),1
-75.5756185202804,6.23009059094341,12,A,14,C,Metro,Estación Industriales (Línea A),1
-75.5780956618959,6.21217834028053,13,A,15,C,Metro,Estación Poblado (Línea A),1
-75.581809543834,6.19391963089418,14,A,16,C,Metro,Estación Aguacatala (Línea A),1
-75.5829417116608,6.25298404611495,15,B,23,C,Metro,Estación Suramericana (Línea B),1
-75.5882563740271,6.25333562904538,16,B,24,C,Metro,Estación Estadio (Línea B),1
-75.5977436998944,6.25870904269094,17,B,25,C,Metro,Estación Floresta (Línea B),1
-75.6037462489201,6.25808821049686,18,B,26,C,Metro,Estación Santa Lucia (Línea B),1
-75.6136642043542,6.25678093091066,19,B,27,C,Metro,Estación San Javier (Línea B),1
-75.5553244903974,6.31587687524253,20,A,3,C,Metro,Estación Madera (Línea A),1
-75.5536350818295,6.33009770033422,21,A,2,C,Metro,Estación Bello (Línea A),1
-75.5442873989545,6.33782749665083,22,A,1,C,Metro,Estación Niquía (Línea A),1
-75.5860638624221,6.18616161382183,23,A,17,C,Metro,Estación Ayurá (Línea A),1
-75.5970654697926,6.17468614761662,24,A,18,C,Metro,Estación Envigado (Línea A),1
-75.6068632489341,6.16289398694123,25,A,19,C,Metro,Estación Itaguí (Línea A),1
-75.6162423823616,6.15768901985984,26,A,20,C,Metro,Estación Sabaneta (Línea A),1
-75.6263632193631,6.15278426423037,27,A,21,C,Metro,Estación La Estrella (Línea A),1
-75.5697279009018,6.24720234078842,28,B,11,C,Metro,Estación San Antonio (Línea B),1
-75.5029717309325,6.2815457510788,29,L,35,C,Cable,Estación Arví (Línea L),1
-75.5417272818165,6.29315937783935,30,K,33,C,Cable,Estación Santo Domingo (Línea K),1
-75.5481413643399,6.29512259676064,31,K,32,C,Cable,Estación Popular (Línea K),1
-75.5518969353113,6.29627205447872,32,K,31,C,Cable,Estación Andalucía (Línea K),1
-75.6137025708655,6.26567653042663,33,J,28,C,Cable,Estación Juan XXIII (Línea J),1
-75.6140171563313,6.27536076856305,34,J,29,C,Cable,Estación Vallejuelos (Línea J),1
-75.614203375146,6.28109317528844,35,J,30,C,Cable,Estación La Aurora (Línea J),1
-75.541394503629,6.24761517965956,36,M,81,C,Cable,Estación 13 de Noviembre (Línea M),1
-75.5286794765379,6.23487454398744,37,H,91,C,Cable,Estación Villa Sierra (Línea H),1
-75.5444759544752,6.24526308952496,38,M,80,C,Cable,Estación El Pinal (Línea M),1
-75.5363721162451,6.23664541463288,39,H,90,C,Cable,Estación Las Torres (Línea H),1
-75.5418476306146,6.29272254999632,40,L,33,C,Cable,Estación Santo Domingo (Línea L),1
-75.5583080207625,6.30027217588447,41,K,4,C,Cable,Estación Acevedo (Línea K),1
-75.5491113460507,6.24172479055651,42,M,79,C,Cable,Estación Miraflores (Línea M),1
-75.5399371370145,6.23336201290231,43,H,78,C,Cable,Estación Oriente (Línea H),1
-75.6134116414659,6.25672017055381,44,J,27,C,Cable,Estación San Javier (Línea J),1
-75.5823335872493,6.30599902033555,45,P,94,C,C,Estación El Progreso (Línea P),1
-75.5759472140603,6.30424822995625,46,P,93,C,C,Estación Doce de Octubre (Línea P),1
-75.5673188985152,6.30188267219059,47,P,92,C,C,Estación Sena-Pedregal (Línea P),1
-75.5588079742996,6.29954912811531,48,P,4,C,C,Estación Acevedo (Línea P),1
-75.5417391340117,6.23550944865119,49,T,77,C,T,Estación Alejandro Echavarría (Línea T),1
-75.5587626632159,6.24395101981816,50,T,73,C,T,Estación Bicentenario (Línea T),1
-75.5451756476184,6.23902804168139,51,T,76,C,T,Estación Loyola (Línea T),1
-75.5401397384779,6.23315021181361,52,T,78,C,T,Estación Oriente (Línea T),1
-75.5619932851923,6.24558862505118,53,T,72,C,T,Estación Pabellón del Agua (Línea T),1
-75.565386212474,6.24732916962308,54,T,71,C,T,Estación San José (Línea T),1
-75.5538999995997,6.24139922736838,55,T,74,C,T,Estación Buenos Aires (Línea T),1
-75.5490033904,6.24138787488828,56,T,75,C,T,Estación Miraflores (Línea T),1
-75.569157150392,6.24699781073812,57,T,11,C,T,Estación San Antonio (Línea T),1
-75.609224897352,6.23066688235755,58,1,36,A,MPLUS,Estación Universidad de Medellín (Línea 1),1
-75.6051687343198,6.23109274134551,59,1,37,B,MPLUS,Parada Los Alpes (Línea 1),2
-75.6010278756201,6.23117775206084,60,1,38,B,MPLUS,Parada La Palma (Línea 1),2
-75.5967500068131,6.23139602682631,61,1,39,B,MPLUS,Parada Parque Belén (Línea 1),2
-75.5909700147728,6.23159618898133,62,1,40,B,MPLUS,Parada Rosales (Línea 1),2
-75.5865641131172,6.23174271667697,63,1,41,B,MPLUS,Parada Fátima (Línea 1),2
-75.5820581603717,6.23186520333006,64,1,42,B,MPLUS,Parada Nutibara (Línea 1),2
-75.575400728261,6.24366185690072,65,1,44,B,MPLUS,Parada Plaza Mayor (Línea 1),2
-75.5750356179202,6.25085315599937,66,1,45,A,MPLUS,Parada Cisneros (Línea 1),2
-75.5731452284817,6.2560913684706,67,1,46,A,MPLUS,Parada Minorista (Línea 1),2
-75.5691426141592,6.26071063617305,68,1,47,A,MPLUS,Parada Chagualo (Línea 1),2
-75.5675800628963,6.26393106714828,69,1,48,A,MPLUS,Parada Ruta N (Línea 1),2
-75.5601699565628,6.26348636879114,70,1,49,B,MPLUS,Parada San Pedro (Línea 1),2
-75.555923134003,6.26211308492702,71,1,50,B,MPLUS,Parada Palos Verdes (Línea 1),2
-75.5550441310294,6.2676677813837,72,1,51,B,MPLUS,Parada Gardel (Línea 1),2
-75.5540786931648,6.2732574348237,73,1,52,B,MPLUS,Parada Manrique (Línea 1),2
-75.5531680218592,6.27839345008202,74,1,53,B,MPLUS,Parada Las Esmeraldas (Línea 1),2
-75.5529379923762,6.28293199999974,75,1,54,B,MPLUS,Parada Berlin (Línea 1),2
-75.5566589884957,6.28520013191353,76,1,55,A,MPLUS,Parada Parque Aranjuez (Línea 1),2
-75.5709859592376,6.22862438968931,77,2,608,A,MPLUS,Paradero Barrio Colombia (Línea 2),3
-75.5698289157385,6.22905763134334,78,2,608,B,MPLUS,Paradero Barrio Colombia (Línea 2),3
-75.570042252875,6.23408877211073,79,2,609,A,MPLUS,Parada Perpetuo Socorro (Línea 2),2
-75.5697817507497,6.24060955358529,80,2,610,A,MPLUS,Parada Barrio Colón (Línea 2),2
-75.5660917940111,6.24708022349703,81,2,611,A,MPLUS,Parada San José (Línea 2),2
-75.5643944480378,6.2495909137477,82,2,612,A,MPLUS,Parada La Playa (Línea 2),2
-75.5624737610525,6.25296478258129,83,2,613,A,MPLUS,Parada Catedral Metropolitana (Línea 2),2
-75.5595881345228,6.25879724953587,84,2,614,A,MPLUS,Paradero Prado (Línea 2),3
-75.5603729213836,6.25897034187351,85,2,614,B,MPLUS,Paradero Prado (Línea 2),3
-75.5564025898463,6.26325595980601,86,2,650,B,MPLUS,Paradero Palos Verdes (Línea 2),3
-75.5528702310017,6.28292594064885,87,1,54,A,MPLUS,Parada Berlin (Línea 1),2
-75.5531259748762,6.27838681481244,88,1,53,A,MPLUS,Parada Las Esmeraldas (Línea 1),2
