Service_Line,Passengers,Day_and_Time,Day_of_the_week
Line 1,192,2023-01-01 04:00:00,Sunday
Line 2,11,2023-01-01 04:00:00,Sunday
Line A,1328,2023-01-01 04:00:00,Sunday
Line H,0,2023-01-01 04:00:00,Sunday
Line J,0,2023-01-01 04:00:00,Sunday
Line K,0,2023-01-01 04:00:00,Sunday
Line L,0,2023-01-01 04:00:00,Sunday
Line M,0,2023-01-01 04:00:00,Sunday
Line O,10,2023-01-01 04:00:00,Sunday
Line P,0,2023-01-01 04:00:00,Sunday
Line T,87,2023-01-01 04:00:00,Sunday
Line 1,1614,2023-01-02 04:00:00,Monday
Line 2,77,2023-01-02 04:00:00,Monday
Line A,9214,2023-01-02 04:00:00,Monday
Line B,1596,2023-01-02 04:00:00,Monday
Line H,115,2023-01-02 04:00:00,Monday
Line J,678,2023-01-02 04:00:00,Monday
Line K,1360,2023-01-02 04:00:00,Monday
Line L,0,2023-01-02 04:00:00,Monday
Line M,156,2023-01-02 04:00:00,Monday
Line O,135,2023-01-02 04:00:00,Monday
Line P,629,2023-01-02 04:00:00,Monday
Line T,701,2023-01-02 04:00:00,Monday
Line 1,2119,2023-01-03 04:00:00,Tuesday
Line 2,92,2023-01-03 04:00:00,Tuesday
Line A,11581,2023-01-03 04:00:00,Tuesday
Line B,2039,2023-01-03 04:00:00,Tuesday
Line H,161,2023-01-03 04:00:00,Tuesday
Line J,912,2023-01-03 04:00:00,Tuesday
Line K,1802,2023-01-03 04:00:00,Tuesday
Line L,0,2023-01-03 04:00:00,Tuesday
Line M,200,2023-01-03 04:00:00,Tuesday
Line O,175,2023-01-03 04:00:00,Tuesday
Line P,882,2023-01-03 04:00:00,Tuesday
Line T,858,2023-01-03 04:00:00,Tuesday
Line 1,2078,2023-01-04 04:00:00,Wednesday
Line 2,90,2023-01-04 04:00:00,Wednesday
Line A,11698,2023-01-04 04:00:00,Wednesday
Line B,2124,2023-01-04 04:00:00,Wednesday
Line H,147,2023-01-04 04:00:00,Wednesday
Line J,923,2023-01-04 04:00:00,Wednesday
Line K,1770,2023-01-04 04:00:00,Wednesday
Line L,0,2023-01-04 04:00:00,Wednesday
Line M,221,2023-01-04 04:00:00,Wednesday
Line O,208,2023-01-04 04:00:00,Wednesday
Line P,922,2023-01-04 04:00:00,Wednesday
Line T,855,2023-01-04 04:00:00,Wednesday
Line 1,2124,2023-01-05 04:00:00,Thursday
Line 2,107,2023-01-05 04:00:00,Thursday
Line A,12001,2023-01-05 04:00:00,Thursday
Line B,2368,2023-01-05 04:00:00,Thursday
Line H,153,2023-01-05 04:00:00,Thursday
Line J,531,2023-01-05 04:00:00,Thursday
Line K,1892,2023-01-05 04:00:00,Thursday
Line L,0,2023-01-05 04:00:00,Thursday
Line M,240,2023-01-05 04:00:00,Thursday
Line O,172,2023-01-05 04:00:00,Thursday
Line P,930,2023-01-05 04:00:00,Thursday
Line T,954,2023-01-05 04:00:00,Thursday
Line 1,2110,2023-01-06 04:00:00,Friday
Line 2,102,2023-01-06 04:00:00,Friday
Line A,11864,2023-01-06 04:00:00,Friday
Line B,2199,2023-01-06 04:00:00,Friday
Line H,144,2023-01-06 04:00:00,Friday
Line J,895,2023-01-06 04:00:00,Friday
Line K,1841,2023-01-06 04:00:00,Friday
Line L,0,2023-01-06 04:00:00,Friday
Line M,230,2023-01-06 04:00:00,Friday
Line O,168,2023-01-06 04:00:00,Friday
Line P,878,2023-01-06 04:00:00,Friday
Line T,934,2023-01-06 04:00:00,Friday
Line 1,1836,2023-01-07 04:00:00,Saturday
Line 2,94,2023-01-07 04:00:00,Saturday
Line A,10368,2023-01-07 04:00:00,Saturday
Line B,1904,2023-01-07 04:00:00,Saturday
Line H,131,2023-01-07 04:00:00,Saturday
Line J,737,2023-01-07 04:00:00,Saturday
Line K,1491,2023-01-07 04:00:00,Saturday
Line L,0,2023-01-07 04:00:00,Saturday
Line M,197,2023-01-07 04:00:00,Saturday
Line O,143,2023-01-07 04:00:00,Saturday
Line P,745,2023-01-07 04:00:00,Saturday
Line T,799,2023-01-07 04:00:00,Saturday
